"id","journal","journal_en","ssh"
1,"上海节能","Shanghai Energy Saving",1
2,"新西部","New West",1
3,"中国民族医药杂志","Chinese Journal of Ethnic Medicine",1
4,"中国果业信息","China Fruit Industry Information",1
5,"国外核新闻","Foreign Nuclear News",1
6,"西伯利亚研究","Siberian Studies",1
7,"美与时代(城市版)","Beauty and Times (City Edition)",1
8,"中国出入境观察","China Immigration Watch",1
9,"文学教育(下)","Literary Education (below)",1
10,"中国非金属矿工业导刊","China Nonmetallic Mining Industry Guide",1
11,"西部学刊","Western Journal",1
12,"中国包装","China Packaging",1
13,"董事会","Board of Directors",1
14,"宁夏师范学院学报","Journal of Ningxia Normal College",1
15,"曹雪芹研究","Cao Xueqin Research",1
16,"汉字文化","Chinese Character Culture",1
17,"起重运输机械","Lifting and transportation machinery",1
18,"江西畜牧兽医杂志","Jiangxi Journal of Animal Husbandry and Veterinary Medicine",1
19,"语言与翻译","Language and Translation",1
20,"今日制造与升级","Manufacturing and Upgrading Today",1
21,"俄罗斯学刊","Journal of Russian Studies",1
22,"比较教育研究","Comparative Education Research",1
23,"当代世界","Contemporary World",1
24,"湖北农业科学","Hubei Agricultural Science",1
25,"解剖学报","Journal of Anatomy",1
26,"西部皮革","Western Leather",1
27,"俄罗斯东欧中亚研究","Russian East European Central Asian Studies",1
28,"亚太传统医药","Asia-Pacific Traditional Medicine",1
29,"中国外资","China Foreign Investment",1
30,"世界有色金属","World Non-Ferrous Metals",1
31,"中国食品学报","Chinese Journal of Food",1
32,"癌变·畸变·突变","Carcinogenesis - Aberration - Mutation",1
33,"中国海关","China Customs",1
34,"国际石油经济","International Oil Economy",1
35,"视听理论与实践","Audiovisual Theory and Practice",1
36,"西部素质教育","Western Quality Education",1
37,"民族教育研究","Ethnic Education Research",1
38,"干旱区研究","Arid Zone Research",1
39,"食药用菌","Medicinal Mushrooms",1
40,"海外英语","English Abroad",1
41,"当代传播","Contemporary Communication",1
42,"人类居住","Human habitation",1
43,"经济论坛","Economic Forum",1
44,"中国矿业","China Mining",1
45,"黑龙江教育(高教研究与评估)","Heilongjiang Education (Higher Education Research and Evaluation)",1
46,"兰州文理学院学报(社会科学版)","Journal of Lanzhou College of Arts and Sciences (Social Science Edition)",1
47,"麦类作物学报","Journal of Wheat Crops",1
48,"铀矿冶","Uranium Mining and Metallurgy",1
49,"时代金融","Times Financial",1
50,"化工安全与环境","Chemical Safety and Environment",1
51,"广西医学","Guangxi Medicine",1
52,"全国流通经济","National Distribution Economy",1
53,"南昌大学学报(医学版)","Journal of Nanchang University (Medical Edition)",1
54,"对外经贸","Foreign Trade",1
