著者名	論文名	雑誌名	ISSN	出版者名	出版日付	巻	号	ページ	URL	URL(DOI)
河原 弥生	中央アジア・イスラーム史：民間所蔵史料による研究の可能性	歴史と地理：世界史の研究			2013	238		107-125	https://cir.nii.ac.jp/crid/1010000782246745729	
富樫 耕介	クルグズ(キルギス)共和国における「二度目の革命」はなぜ生じたのか : 革命の経緯・要因の再考	ロシア・ユーラシアの経済と社会			2013	974		33-48	https://cir.nii.ac.jp/crid/1010000782425014661	
富樫 耕介	クルグズ(キルギス)共和国特集号の刊行にあたって : クルグズ共和国の概説	ロシア・ユーラシアの経済と社会			2013	974		2-6	https://cir.nii.ac.jp/crid/1010000782425014662	
山口 欧志	中央アジア・シルクロード都市ダブシア遺跡の研究	日本考古学協会 第79回総会研究発表要旨			2013			90-91	https://cir.nii.ac.jp/crid/1010000782493168386	
村知 稔三	コーカサスと中央アジアの人間形成	ロシア・ユーラシアの経済と社会			2013	969		46-51	https://cir.nii.ac.jp/crid/1010282257019903744	
宮下 修一	ウズベキスタンにおける「法」の役割――担保法整備支援事業にみる一断面	堀川徹＝大江泰一郎＝磯貝健一編『シャリーアとロシア帝国――近代中央ユーラシアの法と社会』（臨川書店）			2013	単行本		10-14	https://cir.nii.ac.jp/crid/1010282257135417224	
風戸 真理	「ポスト社会主義国における職業と人生選択：カザフスタンのある朝鮮人の事例より」	『神戸山手大学紀要』			2013	14		97-107	https://cir.nii.ac.jp/crid/1010282257157747987	
シン ジルト	伸縮する遠近：モンゴル=キルギス人の現在	『共在の論理と倫理：家族・民・まなざしの人類学』			2013	なし		247-270	https://cir.nii.ac.jp/crid/1010282257171337222	
帯谷 知可	ウズベキスタンの映画 - 中央アジア近現代史に思いをはせながら	地域研究			2013	13巻2号		381-386	https://cir.nii.ac.jp/crid/1010282257172826368	
	Об<<аралаш>>(смешанном)употреблении кыргызского и русского языков (キルギス語とロシア語の'aralash' (混合)使用について)	第10回国際学術会議文明のクロスロード-言語・文化・社会の諸相-予稿集			2013			42-44	https://cir.nii.ac.jp/crid/1010282257464047616	
菊田 悠	ウズベキスタン東部地方都市における聖者崇敬の現在	文化人類学			2013	77-3		361-381	https://cir.nii.ac.jp/crid/1010282257470007425	
呉, 永鎬	書評：関啓子『コーカサスと中央アジアの人間形成 : 発達文化の比較教育研究』	〈教育と社会〉研究	1345-8434	一橋大学〈教育と社会〉研究会	2013-08-28	23		151-153	https://cir.nii.ac.jp/crid/1050564286111161856	
アサノワ, グリザル	キルギス人日本語学習者の授受本動詞の誤用について	言語科学論集	1343-4586	東北大学大学院文学研究科言語科学専攻	2013-12-01	17		35-46	https://cir.nii.ac.jp/crid/1050001202730664704	
	19世紀中央アジアにおける日本人による探検と調査	内蒙古師範大学学報			2014	２０１４年第3期		81-90	https://cir.nii.ac.jp/crid/1010000781795864320	
春田 晴郎	ローマ人と関連する可能性のあるイラン、ウズベキスタンの遺構,ヘレニズム	イスラーム考古学研究			2014	21		108-112	https://cir.nii.ac.jp/crid/1010000782145695372	
磯貝 健一	第5章 シャリーア法廷裁判文書の作成システム―帝政期中央アジアのカーディーと「タズキラ」	堀川徹・大江泰一郎・磯貝健一編『シャリーアとロシア帝国 近代中央ユーラシアの法と社会』(臨川書店)			2014	-		130-165	https://cir.nii.ac.jp/crid/1010000782148216849	
