Author	Title	Journal	ISSN	Publisher	Date	Volume	Number	Page	URL	URL(DOI)
OKAUCHI Mitsuzane	中央アジアトルファン出土の伏羲女〓	シルクロード学研究 10			2000			109-122	https://cir.nii.ac.jp/crid/1010282256721735169	
平田, 昌弘 and 村岡, 徳人 and 佐藤, 昭男 and 宮崎, 昭	独立後のカザフスタン共和国における農作物生産の構造分析	日本カザフ研究会調査報告書		日本カザフ研究会	2000	8		95-112	https://cir.nii.ac.jp/crid/1050001337582615168	
Iwasaki, Ichiro	Radical Structural Reforms and Enterprise Performance in the Kyrgyz Republic : An Institutional Approach	Slavic Studies	05626579	北海道大学スラブ研究センター	2000	47		37-69	https://cir.nii.ac.jp/crid/1050282813977736064	
野部, 公一	体制移行期のカザフスタン農業 : 農業改革を中心として	農業綜合研究	0387-3242	農林省農業綜合研究所	2000-01	54	1	1-111	https://cir.nii.ac.jp/crid/1050845763590239872	
弦間, 正彦	中央アジアの農業発展--ウズベキスタンの事例研究	早稲田社會科學研究 = The Waseda journal of social science	0286-1283	早稲田大学社会科学部学会	2000-03	60		35-61	https://cir.nii.ac.jp/crid/1050001202501124352	
ソン, ラヴレンティー	アジア研究フォーラム 旧ソ連中央アジア諸国の社会･政治･文化的状況	東西南北		和光大学総合文化研究所	2000-03-18	2000		62-69	https://cir.nii.ac.jp/crid/1050282813290528128	
島田, 志津夫 and シマダ, シズオ and Shimada, Shizuo	中央アジアのイラン諸語にかんするロシア語文献目録	言語・地域文化研究 (Language, area and culture studies)	1341-9587	東京外国語大学大学院	2000-03-31	6		199-212	https://cir.nii.ac.jp/crid/1050845762639524864	
岡田, 久美子 and Okada, Kumiko	アルマティの秋 : 新カザフスタン事情	お茶の水地理	02888726	お茶の水地理学会	2000-05-20	41		82-88	https://cir.nii.ac.jp/crid/1050001202683971072	
Yuasa, Yoko	〈研究ノート〉中央アジア新興諸国における「政治的規範」の移行と国際社会：カザフスタン共和国、クルグズスタン共和国の「国家建設」	国際学論集	09105476	上智大学国際関係研究所	2000-07	46		119-140	https://cir.nii.ac.jp/crid/1050845764088088832	
高浜, 秀	『大月氏: 中央アジアに謎の民族を尋ねて』 小谷仲男: 古代中央アジアの謎の民族に対する果敢な挑戦	東方	0910-8904	東方書店	2000-09-01	235		18-21	https://cir.nii.ac.jp/crid/1050845760853924352	
吉村, 慎太郎	滞英研究報告「中央アジア・コーカサス」に関する共同研究から	中東研究	0910-5867	中東調査会	2000-12	469		20-23	https://cir.nii.ac.jp/crid/1050564287908074496	
Iwasaki, Ichiro	Diversification of Industrial Organization and Corporate Governance in the Republic of Kazakhstan : A Case Study on the Government-Business Relationship in Transition	Slavic Studies	05626579	北海道大学スラブ研究センター	2001	48		29-65	https://cir.nii.ac.jp/crid/1050564288954453376	
高橋, 庸一郎	中国北方少数民族伝承文学概説(六) ―キルギス族英雄叙事詩「マナス」(上)―	阪南論集 人文・自然科学編 = Journal of Hannan University Humanities & natural science			2001-03	36	4	1-8	https://cir.nii.ac.jp/crid/1050282813847402624	
賀来, 公寛	中央アジア-市場経済移行国における諸問題の分析	国際地域学研究 = Journal of regional development studies	1343-9057	東洋大学国際地域学部	2001-03	4		51-60	https://cir.nii.ac.jp/crid/1050845763791805696	
Kitamura, Toshiharu	Financial Systems and Foreign Exchange Transactions in Central Asia	GITI Research Bulletin		早稲田大学国際情報通信研究センター	2001-03-08	2000-2001		31-41	https://cir.nii.ac.jp/crid/1050282677459804032	
中林, 理絵	キルギス共和国におけるキルギス語使用の現状 : 首都ビシケクに住む若者の調査から	千葉大学ユーラシア言語文化論集		千葉大学ユーラシア言語文化論講座	2001-03-20	4		68-76	https://cir.nii.ac.jp/crid/1050007072213417600	
犬塚, 優司	胡振華 : 「キルギス共和国の東干語、中国語教育の研究」	ニダバ	0289-0089	西日本言語学会	2001-03-31	30		162-169	https://cir.nii.ac.jp/crid/1050282813430245632	
笠原, 俊宏 and カサハラ, トシヒロ and Toshihiro, Kasahara	中央アジア諸国の国際私法立法に関する研究ノート : -カザフスタン及びウズベキスタンを中心として-	東洋法学 = Toyohogaku	0564-0245	東洋大学法学会	2001-09-01	45	1	77-120	https://cir.nii.ac.jp/crid/1050001338860453632	
高橋庸一郎 and たかはしよういちろう	中国北方少数民族伝承文学概説(七) ―キルギス族英雄叙事詩「マナス」(下)―	阪南論集. 人文・自然科学編			2001-09	37	1-2	29-38	https://cir.nii.ac.jp/crid/1050282813846533248	
KOMATSU Hisao	中央アジアの多様な世界 : 文明の重層と複合	中央アジアを知る60章(守山智彦編)			2002			20-24	https://cir.nii.ac.jp/crid/1010000781776277908	
